No    ,Deprem Kodu,Olus tarihi,Olus zamani,Enlem,Boylam,Der(km),xM,MD,ML,Mw,Ms,Mb,Tip,Yer
1,2.02001E+13,2020.01.01,04:26.1,37.8468,27.5852,8.7,2.3,0,2.3,0,0,0,Ke,REISKOY-GERMENCIK (AYDIN) [West 0.7 km]
2,2.02001E+13,2020.01.01,52:34.1,37.9763,42.986,5,3,0,3,2.8,0,0,Ke,KORULU-CATAK (VAN) [South East  4.7 km]
3,2.02001E+13,2020.01.01,06:57.8,40.1642,32.9993,4,2.2,0,2.2,0,0,0,Ke,AKYURT (ANKARA) [North West  8.0 km]
4,2.02001E+13,2020.01.01,01:54.9,40.8197,28.9303,13.1,2.1,0,2.1,0,0,0,Ke,MARMARA DENIZI
5,2.02001E+13,2020.01.01,32:17.8,38.9385,26.086,8.7,2.2,0,2.2,0,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
6,2.02001E+13,2020.01.01,09:25.5,40.632,32.9307,3.6,2.3,0,2.3,0,0,0,Ke,ELDEN-ORTA (CANKIRI) [South West  3.3 km]
7,2.02001E+13,2020.01.01,55:18.3,37.9428,43.0043,1.9,2.8,0,2.8,0,0,0,Ke,KACIT-CATAK (VAN) [North East  1.7 km]
8,2.02001E+13,2020.01.01,53:27.8,37.1267,35.0738,9.1,2.6,0,2.6,0,0,0,Ke,KUZGUN-KARAISALI (ADANA) [South West  2.5 km]
9,2.02001E+13,2020.01.01,32:36.0,36.4667,29.3538,25.3,2.7,0,2.7,0,0,0,Ke,KORUBUKU-FETHIYE (MUGLA) [South West  0.9 km]
10,2.02001E+13,2020.01.01,43:47.3,38.9307,43.344,4.3,2.9,0,2.9,0,0,0,Ke,CELEBIBAGI-ERCIS (VAN) [South East  6.4 km]
11,2.02001E+13,2020.01.01,55:07.5,38.782,43.7278,8.9,2.2,0,2.2,0,0,0,Ke,SARIMEMET-MURADIYE (VAN) [South East  1.2 km]
