No    ,Deprem Kodu,Olus tarihi,Olus zamani,Enlem,Boylam,Der(km),xM,MD,ML,Mw,Ms,Mb,Tip,Yer
1,2.01801E+13,2018.01.01,45:04.4,36.939,27.6048,6.7,2.1,0,2.1,0,0,0,Ke,GOKOVA KORFEZI (AKDENIZ)
2,2.01801E+13,2018.01.01,53:54.6,37.1187,28.5655,11.3,2.1,0,2.1,0,0,0,Ke,KIYRA-ULA (MUGLA) [North East  2.1 km]
3,2.01801E+13,2018.01.01,08:40.3,39.0338,27.7153,11.1,2.3,0,2.3,0,0,0,Ke,YATAGAN-AKHISAR (MANISA) [North 2.0 km]
4,2.01801E+13,2018.01.01,08:17.0,40.4282,28.7893,8.5,2.8,0,2.8,0,0,0,Ke,GEMLIK KORFEZI (MARMARA DENIZI)
5,2.01801E+13,2018.01.01,22:45.8,37.0203,28.371,2.5,2.8,0,2.8,0,0,0,Ke,SIRINKOY-ULA (MUGLA) [South West  0.8 km]
6,2.01801E+13,2018.01.01,29:13.5,37.5612,37.578,6,2.6,0,2.6,0,0,0,Ke,CORAK-BESNI (ADIYAMAN) [North West  3.3 km]
7,2.01801E+13,2018.01.01,23:51.1,36.9663,27.6222,12,2,0,2,0,0,0,Ke,GOKOVA KORFEZI (AKDENIZ)
8,2.01801E+13,2018.01.01,56:03.5,37.3248,38.6013,7.1,2.4,0,2.4,0,0,0,Ke,KESMETAS-BOZOVA (SANLIURFA) [North 2.0 km]
9,2.01801E+13,2018.01.01,58:33.8,38.4412,26.7947,8.5,2.5,0,2.5,0,0,0,Ke,IZMIR KORFEZI (EGE DENIZI)
10,2.01801E+13,2018.01.01,24:50.2,36.7183,30.2615,49.7,2.7,0,2.7,0,0,0,Ke,BUYUKALAN-KUMLUCA (ANTALYA) [South West  5.2 km]
11,2.01801E+13,2018.01.01,37:48.2,38.9097,26.4243,9.8,2.8,0,2.8,0,0,0,Ke,EGE DENIZI
12,2.01801E+13,2018.01.01,28:37.7,37.2922,42.5363,10.6,2,0,2,0,0,0,Ke,BIRLIKKOY-SILOPI (SIRNAK) [North East  5.3 km]
13,2.01801E+13,2018.01.01,00:14.3,39.8982,29.2993,5.3,2.1,0,2.1,0,0,0,Ke,GELEMIC-KELES (BURSA) [North East  2.0 km]
14,2.01801E+13,2018.01.01,17:28.1,35.723,29.3947,9.7,3.3,0,3.1,3.3,0,0,Ke,AKDENIZ
15,2.01801E+13,2018.01.01,47:23.0,38.7162,27.8607,7.3,2.9,0,2.9,0,0,0,Ke,DEYNEKLER-GOLMARMARA (MANISA) [North East  2.1 km]
16,2.01801E+13,2018.01.01,11:25.2,38.0537,43.3808,5,2.4,0,2.4,0,0,0,Ke,GECERLI-GURPINAR (VAN) [North East  2.5 km]
17,2.01712E+13,2017.12.31,23:32.3,39.5233,26.1345,5.5,2,0,2,0,0,0,Ke,GULPINAR-AYVACIK (CANAKKALE) [South East  1.6 km]
18,2.01712E+13,2017.12.31,29:54.4,39.275,29.2688,7.3,2.5,0,2.5,0,0,0,Ke,IGDEKOY-EMET (KUTAHYA) [South East  1.4 km]
19,2.01712E+13,2017.12.31,43:01.2,38.704,27.8863,7.1,2.9,0,2.9,0,0,0,Ke,KAYAALTI-GOLMARMARA (MANISA) [North East  1.6 km]
20,2.01712E+13,2017.12.31,12:02.3,40.5658,27.867,12.6,4.1,0,4.1,3.8,0,0,Ke,ERDEK ACIKLARI-BALIKESIR (MARMARA DENIZI)
21,2.01712E+13,2017.12.31,57:18.4,36.8857,31.1415,23.2,2.2,0,2.2,0,0,0,Ke,KARADAYI-SERIK (ANTALYA) [East 2.7 km]
22,2.01712E+13,2017.12.31,25:42.0,38.707,27.877,6.4,2.1,0,2.1,0,0,0,Ke,KAYAALTI-GOLMARMARA (MANISA) [North East  1.2 km]
23,2.01712E+13,2017.12.31,38:05.1,37.841,37.726,5,3.8,0,3.5,3.8,0,0,Ke,HARMANLI-GOLBASI (ADIYAMAN) [North West  1.7 km]
24,2.01712E+13,2017.12.31,02:00.3,35.8503,30.7925,24.6,2,0,2,0,0,0,Ke,AKDENIZ
25,2.01712E+13,2017.12.31,02:43.6,38.6688,38.2625,5.4,2,0,2,0,0,0,Ke,KARACA-YAZIHAN (MALATYA) [North East  4.8 km]
26,2.01712E+13,2017.12.31,43:48.8,36.3493,28.123,46.1,2.3,0,2.3,0,0,0,Ke,RODOS ADASI (AKDENIZ)
27,2.01712E+13,2017.12.31,33:38.7,38.8185,26.4537,12.4,2.2,0,2.2,0,0,0,Ke,EGE DENIZI
28,2.01712E+13,2017.12.31,17:42.6,40.0538,27.795,6.5,2,0,2,0,0,0,Ke,ALASAR-GONEN (BALIKESIR) [South East  1.6 km]
29,2.01712E+13,2017.12.30,25:10.5,41.2282,39.7757,18.8,2.2,0,2.2,0,0,0,Ke,TRABZON ACIKLARI (KARADENIZ)
30,2.01712E+13,2017.12.30,25:07.9,39.4962,26.1562,5.7,2.1,0,2.1,0,0,0,Ke,BADEMLI-AYVACIK (CANAKKALE) [West 1.1 km]
31,2.01712E+13,2017.12.30,55:40.2,41.3137,39.723,7.6,2.8,0,2.8,0,0,0,Ke,TRABZON ACIKLARI (KARADENIZ)
32,2.01712E+13,2017.12.30,12:49.4,37.109,28.6452,5,3.9,0,3.7,3.9,0,0,Ke,KAVAKCALI-ULA (MUGLA) [North East  0.5 km]
33,2.01712E+13,2017.12.30,59:24.1,38.7388,36.5267,2.3,2.2,0,2.2,0,0,0,Ke,YUKARIBURANDERE-PINARBASI (KAYSERI) [South West  2.4 km]
34,2.01712E+13,2017.12.30,05:44.2,37.1118,28.6008,8.6,2.1,0,2.1,0,0,0,Ke,ARICILAR-ULA (MUGLA) [North East  0.6 km]
35,2.01712E+13,2017.12.30,06:18.5,36.9935,28.1108,7,3.3,0,3.2,3.3,0,0,Ke,GOKOVA KORFEZI (AKDENIZ)
36,2.01712E+13,2017.12.30,05:52.2,36.8978,29.2522,6.6,2.5,0,2.5,0,0,0,Ke,TASCILAR-CAMELI (DENIZLI) [South West  4.3 km]
37,2.01712E+13,2017.12.30,51:45.8,39.4503,42.2653,4,2,0,2,0,0,0,Ke,IYIKOMSU-MALAZGIRT (MUS) [North East  2.6 km]
38,2.01712E+13,2017.12.30,41:17.2,38.9242,26.1415,5.4,2.7,0,2.7,0,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
39,2.01712E+13,2017.12.30,05:49.7,36.9905,28.1045,5,2.9,0,2.9,0,0,0,Ke,GOKOVA KORFEZI (AKDENIZ)
40,2.01712E+13,2017.12.30,09:23.5,36.9152,27.6593,6.5,2.6,0,2.6,0,0,0,Ke,GOKOVA KORFEZI (AKDENIZ)
41,2.01712E+13,2017.12.30,30:55.5,37.1178,28.6343,7.4,2.1,0,2.1,0,0,0,Ke,KAVAKCALI-ULA (MUGLA) [North West  1.6 km]
42,2.01712E+13,2017.12.30,13:27.5,39.8292,43.4082,2.5,2.6,0,2.6,0,0,0,Ke,KANDILLI-TUZLUCA (IGDIR) [South West  4.3 km]
43,2.01712E+13,2017.12.30,54:11.7,39.0435,26.087,9.2,2.4,0,2.4,0,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
44,2.01712E+13,2017.12.30,05:54.9,39.4478,28.9833,5,2.1,0,2.1,0,0,0,Ke,DAGARDI-SIMAV (KUTAHYA) [North West  1.8 km]
45,2.01712E+13,2017.12.30,48:31.3,36.974,27.6392,2.2,2.4,0,2.4,0,0,0,Ke,GOKOVA KORFEZI (AKDENIZ)
46,2.01712E+13,2017.12.30,39:08.0,39.0015,26.0753,7.5,2.1,0,2.1,0,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
