No    ,Deprem Kodu,Olus tarihi,Olus zamani,Enlem,Boylam,Der(km),xM,MD,ML,Mw,Ms,Mb,Tip,Yer
1,1.98001E+13,1980.01.01,08:33.3,39.04,28.03,5,2.6,0,0,,0,2.6,Ke,KOMURCU-AKHISAR (MANISA) [North West  3.3 km]
2,1.97912E+13,1979.12.31,09:35.4,41.09,28.31,0,2,0,0,,0,2,Ke,SILIVRI (ISTANBUL) [North East  5.5 km]
3,1.97912E+13,1979.12.31,29:26.3,40.9,28.82,0,2.4,0,0,,0,2.4,Ke,BAKIRKOY (ISTANBUL) [South West  9.6 km]
4,1.97912E+13,1979.12.31,25:04.3,36.1,31.44,79,4,0,0,,0,4,Ke,AKDENIZ
5,1.97912E+13,1979.12.31,07:52.2,39.47,28.85,10,3,0,0,,0,3,Ke,ISIKLAR-DURSUNBEY (BALIKESIR) [North West  2.0 km]
6,1.97912E+13,1979.12.31,39:34.3,35.51,27.34,62,4.4,0,4.4,,0,4.1,Ke,AKDENIZ
7,1.97912E+13,1979.12.31,21:35.9,36.22,31.49,93,5.3,0,0,,4.9,5.3,Ke,ANTALYA KÖRFEZI (AKDENIZ)
8,1.97912E+13,1979.12.31,43:11.7,39.48,28.94,0,2.6,0,0,,0,2.6,Ke,BADEMLI-SIMAV (KÜTAHYA) [South West  0.9 km]
9,1.97912E+13,1979.12.31,24:15.2,40.53,27.1,12,2.5,0,0,,0,2.5,Ke,MARMARA DENIZI
10,1.97912E+13,1979.12.30,56:08.0,38.4,42.6,33,4.4,0,0,,0,4.4,Ke,YEDIVEREN-TATVAN (BITLIS) [North West  1.3 km]
11,1.97912E+13,1979.12.30,35:15.3,40.53,29.4,0,2,0,0,,0,2,Ke,UREGIL-ORHANGAZI (BURSA) [North West  1.0 km]
12,1.97912E+13,1979.12.30,23:58.2,39.17,29.44,0,2.5,0,0,,0,2.5,Ke,PUSATLAR-CAVDARHISAR (KÜTAHYA) [West 4.2 km]
13,1.97912E+13,1979.12.29,46:17.9,39.28,29.34,0,2.1,0,0,,0,2.1,Ke,SEYHCAKIR-HISARCIK (KÜTAHYA) [North 2.1 km]
14,1.97912E+13,1979.12.28,09:08.1,37.52,35.85,47,5.1,0,0,,4.7,5.1,Ke,DURMUSLU-KOZAN (ADANA) [North East  1.6 km]
15,1.97912E+13,1979.12.27,51:11.5,39.57,28.57,0,2.2,0,0,,0,2.2,Ke,SELIMAGA-DURSUNBEY (BALIKESIR) [South East  2.9 km]
16,1.97912E+13,1979.12.27,26:44.9,39.59,28.59,0,2.1,0,0,,0,2.1,Ke,DURSUNBEY (BALIKESIR) [West 3.2 km]
17,1.97912E+13,1979.12.27,54:19.8,40.44,28.46,10,3.2,0,0,,0,3.2,Ke,BAYRAMDERE AÇIKLARI-BURSA (MARMARA DENIZI)
18,1.97912E+13,1979.12.27,53:40.0,40.46,28.49,4,2.7,0,0,,0,2.7,Ke,BAYRAMDERE AÇIKLARI-BURSA (MARMARA DENIZI)
19,1.97912E+13,1979.12.26,14:16.7,40.82,27.97,0,2,0,0,,0,2,Ke,MARMARA EREGLISI AÇIKLARI-TEKIRDAG (MARMARA DENIZI)
20,1.97912E+13,1979.12.26,34:19.5,40.17,27.14,0,2.3,0,0,,0,2.3,Ke,GEREDELLI-BIGA (ÇANAKKALE) [South East  1.6 km]
21,1.97912E+13,1979.12.25,33:48.5,39.69,28.58,4,3.3,0,0,,0,3.3,Ke,CAKIRCA-DURSUNBEY (BALIKESIR) [East 1.8 km]
22,1.97912E+13,1979.12.23,16:08.7,39.47,30.69,0,2.3,0,0,,0,2.3,Ke,SEYITGAZI (ESKISEHIR) [North 2.7 km]
23,1.97912E+13,1979.12.23,09:37.9,40.17,28.89,10,3.2,0,0,,0,3.2,Ke,TAHTALI-NILUFER (BURSA) [South East  1.0 km]
