No    ,Deprem Kodu,Olus tarihi,Olus zamani,Enlem,Boylam,Der(km),xM,MD,ML,Mw,Ms,Mb,Tip,Yer
1,2.01001E+13,2010.01.01,53:44.7,39.5183,33.1363,6.5,2.2,2.2,0,,0,0,Ke,BALA (ANKARA) [South East  4.0 km]
2,2.01001E+13,2010.01.01,20:17.4,37.9578,27.4437,6.8,2.8,2.8,0,,0,0,Ke,SIRINCE-SELCUK (IZMIR) [North East  1.9 km]
3,2.01001E+13,2010.01.01,01:21.1,40.15,28.2928,4.7,3,3,0,,0,0,Ke,YOLAGZI-KARACABEY (BURSA) [North West  1.9 km]
4,2.01001E+13,2010.01.01,41:53.3,39.1278,26.5177,7.3,2.8,2.8,0,,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
5,2.01001E+13,2010.01.01,06:57.4,35.8987,27.156,10,3.8,0,3.8,,0,0,Ke,AKDENIZ
6,2.01001E+13,2010.01.01,27:18.2,40.4762,29.139,6.3,2.8,2.8,0,,0,0,Ke,HAYDARIYE-GEMLIK (BURSA) [South East  4.8 km]
7,2.01001E+13,2010.01.01,24:03.7,39.0933,29.4743,9.5,2.9,2.9,0,,0,0,Ke,YAYLAKOY-GEDIZ (KÜTAHYA) [North West  2.0 km]
8,2.01001E+13,2010.01.01,02:56.6,37.0327,36.0928,8.1,2.8,2.8,0,,0,0,Ke,BUYUKTUYSUZ-TOPRAKKALE (OSMANIYE) [North West  0.9 km]
9,2.01001E+13,2010.01.01,48:58.5,40.4047,34.6208,5.3,2.8,2.8,0,,0,0,Ke,MISLEROVACIGI- (ÇORUM) [West 0.3 km]
10,2.01001E+13,2010.01.01,03:10.3,39.3333,40.963,9.4,2.9,2.9,0,,0,0,Ke,ILIPINAR-KARLIOVA (BINGOL) [South East  5.2 km]
11,2.01001E+13,2010.01.01,02:56.0,39.3533,38.4492,7.4,3,3,0,,0,0,Ke,GUMUSCESME-KEMALIYE (ERZINCAN) [North East  4.7 km]
12,2.01001E+13,2010.01.01,40:11.7,38.2202,32.471,26,2.7,2.7,0,,0,0,Ke,KONAR-SARAYONU (KONYA) [South 3.6 km]
13,2.01001E+13,2010.01.01,39:43.1,37.8157,29.1672,5,2.6,2.6,0,,0,0,Ke,KOCADERE- (DENIZLI) [South West  3.9 km]
14,2.01001E+13,2010.01.01,33:23.4,36.197,30.284,29.3,3,3,0,,0,0,Ke,FINIKE AÇIKLARI-ANTALYA (AKDENIZ)
15,2.00912E+13,2009.12.31,21:33.4,38.9185,44.1307,11.1,2.7,2.7,0,,0,0,Ke,YUKARIBALCIKLI-OZALP (VAN) [South West  1.4 km]
16,2.00912E+13,2009.12.31,05:01.2,37.2458,36.2512,5,3.4,3.4,0,,0,0,Ke,KARATEPE-KADIRLI (OSMANIYE) [South 2.3 km]
17,2.00912E+13,2009.12.31,47:38.4,37.1555,35.5425,21.7,2.2,2.2,0,,0,0,Ke,GOKBUKET-SARICAM (ADANA) [North West  1.5 km]
18,2.00912E+13,2009.12.31,08:33.9,38.5365,28.28,4.5,2.6,2.6,0,,0,0,Ke,DURASILLI-SALIHLI (MANISA) [North East  3.6 km]
19,2.00912E+13,2009.12.31,09:42.0,38.9323,28.1497,7.8,2.9,2.9,0,,0,0,Ke,CITAK-AKHISAR (MANISA) [South East  2.7 km]
20,2.00912E+13,2009.12.31,50:29.2,39.3032,40.8465,5,3.2,3.2,0,,0,0,Ke,KAYNAK-KARLIOVA (BINGOL) [North West  8.5 km]
21,2.00912E+13,2009.12.31,18:35.0,39.4415,28.9688,9.9,2.8,2.8,0,,0,0,Ke,SARKATLAR-SIMAV (KÜTAHYA) [South East  0.8 km]
22,2.00912E+13,2009.12.31,56:38.3,37.2137,36.2837,15.6,2.6,2.6,0,,0,0,Ke,KARAGEDIK-DUZICI (OSMANIYE) [South East  1.7 km]
23,2.00912E+13,2009.12.31,29:41.8,39.909,29.908,7.7,2.5,2.5,0,,0,0,Ke,MURATDERE-BOZUYUK (BILECIK) [North East  2.3 km]
24,2.00912E+13,2009.12.31,19:26.4,39.3732,38.5263,17.4,2.5,2.5,0,,0,0,Ke,SALIHLI-KEMALIYE (ERZINCAN) [North East  4.8 km]
25,2.00912E+13,2009.12.31,37:43.5,38.6583,39.454,5,2.6,2.6,0,,0,0,Ke,KIRACKOY- (ELAZIG) [South East  3.4 km]
26,2.00912E+13,2009.12.31,01:38.1,36.3165,27.5353,84.5,3.9,3.5,3.9,,0,0,Ke,DATÇA AÇIKLARI-MUGLA (AKDENIZ)
27,2.00912E+13,2009.12.31,51:42.2,40.0137,39.8083,26.5,2.6,2.6,0,,0,0,Ke,KALECIK-DEMIROZU (BAYBURT) [North 3.1 km]
28,2.00912E+13,2009.12.31,38:30.6,39.3548,38.518,14.4,2.6,2.6,0,,0,0,Ke,SALIHLI-KEMALIYE (ERZINCAN) [North East  2.6 km]
29,2.00912E+13,2009.12.31,12:07.7,37.1855,28.1612,14.6,2.7,2.7,0,,0,0,Ke,CIFTLIKKOY- (MUGLA) [North 0.9 km]
30,2.00912E+13,2009.12.31,34:52.4,38.0633,38.3832,15.9,2.6,2.6,0,,0,0,Ke,KORUCAK-CELIKHAN (ADIYAMAN) [South East  0.6 km]
31,2.00912E+13,2009.12.31,49:21.2,36.9045,29.355,8.9,2.9,2.9,0,,0,0,Ke,GURSU-CAMELI (DENIZLI) [South East  4.9 km]
32,2.00912E+13,2009.12.30,56:28.9,36.1158,27.4155,6.6,2.9,2.9,0,,0,0,Ke,AKDENIZ
33,2.00912E+13,2009.12.30,16:25.2,36.9778,29.1863,20.1,2.5,2.5,0,,0,0,Ke,KIRAZLIYAYLA-CAMELI (DENIZLI) [South West  1.6 km]
34,2.00912E+13,2009.12.30,40:54.7,37.96,28.9978,8.4,3,3,0,,0,0,Ke,CABER-SARAYKOY (DENIZLI) [North East  0.9 km]
35,2.00912E+13,2009.12.30,23:24.8,41.6608,27.513,4.3,3.3,3.3,0,,0,0,Ke,KAYNARCA-PINARHISAR (KIRKLARELI) [East 3.4 km]
36,2.00912E+13,2009.12.30,55:19.8,41.6737,27.5222,4.8,3.2,3.2,0,,0,0,Ke,CAYIRDERE-PINARHISAR (KIRKLARELI) [South East  3.0 km]
37,2.00912E+13,2009.12.30,28:02.7,35.0455,27.4075,33.6,2.6,0,2.6,,0,0,Ke,AKDENIZ
38,2.00912E+13,2009.12.30,26:29.4,40.7475,26.3292,15.4,2.3,2.3,0,,0,0,Ke,KOYUNTEPE-IPSALA (EDIRNE) [South West  2.5 km]
39,2.00912E+13,2009.12.30,19:38.3,38.8027,35.4963,5,3,3,0,,0,0,Ke,KOCASINAN (KAYSERI) [North East  8.3 km]
40,2.00912E+13,2009.12.30,18:47.0,38.9042,27.8665,5,2.7,2.7,0,,0,0,Ke,YENIDOGAN-AKHISAR (MANISA) [North West  0.6 km]
41,2.00912E+13,2009.12.30,25:51.2,40.2083,29.635,8.8,2.6,2.6,0,,0,0,Ke,SUBASI-YENISEHIR (BURSA) [South West  2.5 km]
42,2.00912E+13,2009.12.30,06:04.3,39.0047,42.4713,9.6,3,3,0,,0,0,Ke,CAYGELDI-BULANIK (MUS) [South East  2.5 km]
43,2.00912E+13,2009.12.30,00:50.6,36.7078,27.9523,6.2,3.5,3.5,0,,0,0,Ke,BOZBURUN AÇIKLARI-MUGLA (AKDENIZ)
44,2.00912E+13,2009.12.30,43:29.6,37.5445,35.3957,8.7,2.6,2.6,0,,0,0,Ke,ALADAG (ADANA) [South East  0.1 km]
45,2.00912E+13,2009.12.30,01:37.2,37.1795,28.6388,11.2,3,3,0,,0,0,Ke,CAKMAK- (MUGLA) [South West  1.4 km]
46,2.00912E+13,2009.12.30,29:10.5,36.1885,27.6745,12.5,3,3,0,,0,0,Ke,AKDENIZ
47,2.00912E+13,2009.12.30,21:25.5,37.8982,27.0793,7,3,3,0,,0,0,Ke,KUSADASI KÖRFEZI (EGE DENIZI)
48,2.00912E+13,2009.12.30,02:58.6,40.1715,27.0373,8.9,3,3,0,,0,0,Ke,HARMANLI-BIGA (ÇANAKKALE) [West 2.2 km]
49,2.00912E+13,2009.12.29,25:49.8,39.4962,33.078,5,3.1,3.1,0,,0,0,Ke,AFSAR-BALA (ANKARA) [North East  5.3 km]
50,2.00912E+13,2009.12.29,42:34.3,40.462,27.8367,7.3,2.8,2.8,0,,0,0,Ke,ORMANLI-ERDEK (BALIKESIR) [South 5.0 km]
51,2.00912E+13,2009.12.29,56:52.1,38.8717,26.9077,6.9,3.3,3.3,0,,0,0,Ke,CANDARLI KÖRFEZI (EGE DENIZI)
52,2.00912E+13,2009.12.29,46:27.5,40.151,34.1572,5,3.3,3.3,0,,0,0,Ke,DENIZLI-SUNGURLU (ÇORUM) [South 0.9 km]
53,2.00912E+13,2009.12.29,58:55.2,38.0872,38.3337,2.3,3.1,3.1,0,,0,0,Ke,TASDAMLAR-CELIKHAN (ADIYAMAN) [South West  0.4 km]
54,2.00912E+13,2009.12.29,49:21.8,37.4953,34.7013,23.6,2.4,2.4,0,,0,0,Ke,ALIHOCA-ULUKISLA (NIGDE) [North West  1.3 km]
55,2.00912E+13,2009.12.29,34:08.9,37.5487,35.41,7.8,2.8,2.8,0,,0,0,Ke,ALADAG (ADANA) [North East  1.4 km]
56,2.00912E+13,2009.12.29,24:55.4,40.6438,35.1453,14,2.7,2.7,0,,0,0,Ke,BUGACIK- (ÇORUM) [South East  1.6 km]
57,2.00912E+13,2009.12.29,18:10.9,38.8492,41.5738,11,2.9,2.9,0,,0,0,Ke,BOYUNCUK- (MUS) [North West  1.2 km]
58,2.00912E+13,2009.12.29,13:24.4,38.853,26.8987,13.6,3.4,3.3,3.4,,0,0,Ke,CANDARLI KÖRFEZI (EGE DENIZI)
59,2.00912E+13,2009.12.29,51:09.4,39.7467,30.5517,5,2.8,2.8,0,,0,0,Ke,ODUNPAZARI (ESKISEHIR) [South East  3.2 km]
60,2.00912E+13,2009.12.29,16:19.3,39.1258,41.8812,14.2,3.1,3.1,0,,0,0,Ke,MESEICI-BULANIK (MUS) [North West  1.6 km]
61,2.00912E+13,2009.12.29,15:41.2,39.1285,41.964,5,3.3,3.3,0,,0,0,Ke,BOSTANCILAR-BULANIK (MUS) [North West  1.9 km]
62,2.00912E+13,2009.12.29,21:30.7,37.861,30.8813,8.8,2.8,2.8,0,,0,0,Ke,EGIRDIR (ISPARTA) [South East  3.0 km]
63,2.00912E+13,2009.12.29,52:11.2,39.0078,41.9148,5,3.2,3.2,0,,0,0,Ke,OLURDERE-BULANIK (MUS) [North West  2.3 km]
64,2.00912E+13,2009.12.28,43:21.2,40.1677,29.6302,3.2,2.9,2.9,0,,0,0,Ke,OSMANIYE-YENISEHIR (BURSA) [South East  0.9 km]
65,2.00912E+13,2009.12.28,02:04.1,38.841,26.8672,8.1,3.4,3.4,3.4,,0,0,Ke,CANDARLI KÖRFEZI (EGE DENIZI)
66,2.00912E+13,2009.12.28,13:00.1,36.8537,27.299,7.6,2.9,2.9,0,,0,0,Ke,KOS ADASI (AKDENIZ)
67,2.00912E+13,2009.12.28,59:51.4,36.4557,26.7713,12.5,3.3,3.3,0,,0,0,Ke,AKDENIZ
