No    	Deprem Kodu	Olus tarihi	Olus zamani	Enlem	Boylam	Der(km)	xM	MD	ML	Mw	Ms	Mb	Tip	Yer
000001	20230101235201	2023.01.01	23:52:01.72	40.6150	28.9735	008.2	2.9	0.0	2.9	0.0	0.0	0.0	Ke	ESENKOY-CINARCIK (YALOVA) [South East  1.6 km]
000002	20230101223037	2023.01.01	22:30:37.33	35.0932	27.2323	067.4	2.4	0.0	2.4	0.0	0.0	0.0	Ke	AKDENIZ
000003	20230101191535	2023.01.01	19:15:35.66	37.7643	43.6797	003.9	2.9	0.0	2.9	0.0	0.0	0.0	Ke	ORDEKLI- (HAKKARI) [North West  6.4 km]
000004	20230101184832	2023.01.01	18:48:32.05	37.0130	35.9515	007.6	2.0	0.0	2.0	0.0	0.0	0.0	Ke	SOGUKPINAR-CEYHAN (ADANA) [South West  2.0 km]
000005	20230101164011	2023.01.01	16:40:11.67	37.0200	35.9815	007.3	2.0	0.0	2.0	0.0	0.0	0.0	Ke	DOKUZTEKNE-CEYHAN (ADANA) [North 1.3 km]
000006	20230101161055	2023.01.01	16:10:55.16	35.9333	29.9273	004.0	2.4	0.0	2.4	0.0	0.0	0.0	Ke	AKDENIZ
000007	20230101143222	2023.01.01	14:32:22.20	38.8410	43.5670	005.0	3.1	0.0	3.0	3.1	0.0	0.0	Ke	AKCIFT- (VAN) [North West  1.5 km]
000008	20230101142620	2023.01.01	14:26:20.64	37.0908	28.3660	005.4	2.2	0.0	2.2	0.0	0.0	0.0	Ke	KIZILAGAC-ULA (MUGLA) [North East  0.8 km]
000009	20230101133816	2023.01.01	13:38:16.73	37.9665	27.1342	007.5	2.0	0.0	2.0	0.0	0.0	0.0	Ke	KUSADASI KORFEZI (EGE DENIZI)
000010	20230101123616	2023.01.01	12:36:16.90	40.5000	32.8875	005.4	2.0	0.0	2.0	0.0	0.0	0.0	Ke	YILDIRIMAYDOGAN-CUBUK (ANKARA) [North West  3.6 km]
000011	20230101072614	2023.01.01	07:26:14.76	36.2367	28.9330	010.2	2.7	0.0	2.7	0.0	0.0	0.0	Ke	AKDENIZ
000012	20230101065806	2023.01.01	06:58:06.39	38.5273	44.0118	001.7	3.1	0.0	3.0	3.1	0.0	0.0	Ke	CARDAK-SARAY (VAN) [West 4.1 km]
000013	20230101065652	2023.01.01	06:56:52.62	41.2758	43.8995	008.1	2.4	0.0	2.4	0.0	0.0	0.0	Ke	GURCISTAN
000014	20230101061219	2023.01.01	06:12:19.21	41.1080	34.1603	003.3	2.7	0.0	2.7	0.0	0.0	0.0	Ke	CELTIKCI-TOSYA (KASTAMONU) [East 1.4 km]
000015	20230101060211	2023.01.01	06:02:11.15	37.8553	29.3460	001.2	2.8	0.0	2.8	0.0	0.0	0.0	Ke	KOCABAS-HONAZ (DENIZLI) [North East  5.6 km]
000016	20230101053338	2023.01.01	05:33:38.86	40.7402	34.5162	021.5	2.3	0.0	2.3	0.0	0.0	0.0	Ke	CAVUSOGLU-ISKILIP (CORUM) [South West  0.3 km]
000017	20230101051216	2023.01.01	05:12:16.22	41.1233	34.1840	005.0	3.0	0.0	3.0	2.8	0.0	0.0	Ke	CAYBASI-TOSYA (KASTAMONU) [North West  2.9 km]
000018	20230101020516	2023.01.01	02:05:16.42	40.3558	27.1057	013.0	2.5	0.0	2.5	0.0	0.0	0.0	Ke	ESKIBALIKLI-BIGA (CANAKKALE) [North East  1.0 km]
000019	20230101012629	2023.01.01	01:26:29.59	40.6815	30.4095	015.7	2.2	0.0	2.2	0.0	0.0	0.0	Ke	KEMALIYE-ARIFIYE (SAKARYA) [North West  0.5 km]
000020	20221231230104	2022.12.31	23:01:04.29	38.5677	31.4997	005.0	2.1	0.0	2.1	0.0	0.0	0.0	Ke	PAZARKAYA-TUZLUKCU (KONYA) [North West  8.3 km]
000021	20221231213612	2022.12.31	21:36:12.64	36.0843	28.0823	007.6	2.3	0.0	2.3	0.0	0.0	0.0	Ke	RODOS ADASI (AKDENIZ)
