No    	Deprem Kodu	Olus tarihi	Olus zamani	Enlem	Boylam	Der(km)	xM	MD	ML	Mw	Ms	Mb	Tip	Yer
000001	20240101235847	2024.01.01	23:58:47.17	37.1438	36.9478	007.2	2.4	0.0	2.4	0.0	0.0	0.0	Ke	IKIZKUYU-NURDAGI (GAZIANTEP) [North West  2.5 km]
000002	20240101231558	2024.01.01	23:15:58.37	37.5000	43.8290	005.0	2.3	0.0	2.3	0.0	0.0	0.0	Ke	AGACDIBI- (HAKKARI) [East 3.7 km]
000003	20240101215003	2024.01.01	21:50:03.05	38.8043	37.1562	005.0	2.1	0.0	2.1	0.0	0.0	0.0	Ke	DAVULHOYUK-GURUN (SIVAS) [South East  1.6 km]
000004	20240101211012	2024.01.01	21:10:12.11	39.3433	40.9952	004.8	2.4	0.0	2.4	0.0	0.0	0.0	Ke	KANTARKAYA-KARLIOVA (BINGOL) [South West  3.2 km]
000005	20240101195435	2024.01.01	19:54:35.17	37.4723	43.8465	005.0	4.0	0.0	3.9	4.0	0.0	0.0	Ke	CANAKLI- (HAKKARI) [North West  5.4 km]
000006	20240101195011	2024.01.01	19:50:11.70	37.4575	43.7468	009.6	2.9	0.0	2.9	0.0	0.0	0.0	Ke	OGUL- (HAKKARI) [North West  2.7 km]
000007	20240101193907	2024.01.01	19:39:07.34	39.5472	39.9857	005.0	3.2	0.0	3.2	3.2	0.0	0.0	Ke	SULEYMANUSAGI-PULUMUR (TUNCELI) [South West  0.6 km]
000008	20240101192527	2024.01.01	19:25:27.86	39.3028	26.7543	007.4	2.0	0.0	2.0	0.0	0.0	0.0	Ke	MUTLU-AYVALIK (BALIKESIR) [West 2.0 km]
000009	20240101190842	2024.01.01	19:08:42.18	39.1898	28.8722	007.0	2.0	0.0	2.0	0.0	0.0	0.0	Ke	AKDAG-SIMAV (KUTAHYA) [West 0.3 km]
000010	20240101190724	2024.01.01	19:07:24.60	39.7930	41.8272	005.0	2.6	0.0	2.6	0.0	0.0	0.0	Ke	YEMLIK-KOPRUKOY (ERZURUM) [South East  0.9 km]
000011	20240101190342	2024.01.01	19:03:42.03	35.3272	28.3712	020.3	3.0	0.0	3.0	2.8	0.0	0.0	Ke	AKDENIZ
000012	20240101182122	2024.01.01	18:21:22.56	39.5657	39.9960	005.0	2.3	0.0	2.3	0.0	0.0	0.0	Ke	SULEYMANUSAGI-PULUMUR (TUNCELI) [North 1.8 km]
000013	20240101171344	2024.01.01	17:13:44.81	36.9952	27.6490	004.0	2.0	0.0	2.0	0.0	0.0	0.0	Ke	GOKOVA KORFEZI (AKDENIZ)
000014	20240101163853	2024.01.01	16:38:53.72	38.8550	27.8447	002.4	2.0	0.0	2.0	0.0	0.0	0.0	Ke	MORALILAR-AKHISAR (MANISA) [South East  0.2 km]
